Cohort_ID,ATLAS_ID,HERA_ID,Label,Short,"Category [WHO, from AAPC and ICD-10 grouping]",ICD-10,Acute or Chronic,Delay,Lookback
11178,2630,378419003,"  Alzheimers disease by Imfeld Epilepsia, 2013",Alzheimer's disease,Diseases of the nervous system,G30,Chronic,?,3
11179,2631,380378008,  Epilepsy Moura 1,Epilepsy,Diseases of the nervous system,G40,Chronic,7-10 years,10
11180,2632,381270001,  Parkinsons disease referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Parkinson's,Diseases of the nervous system,G20,Chronic,12 months,3
11181,2633,381316003,"  Stroke events, defined by condition occurrences of Stroke (ischemic or hemorrhagic) conceptset occurring between start and end of inpatient or ER visit",Stroke,Diseases of the circulatory system,I63,Acute,,1
11182,2634,432791003,"  Angioedema events, defined by condition occurrences of Angioedema conceptset occurring between start and end of inpatient or ER visit",Angioedema,"Injury, poisoning and certain other consequences of external causes",T78,Acute,,1
11183,2635,432867001,  Hyperlipidemia referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Hyperlipidemia,"Endocrine, nutritional and metabolic diseases",E78.5,Chronic,N/A,3
11184,2636,432870003,"  Idiopathic thrombocytopenic purpura events, as defined by diagnosis codes from Shaw Platelets 2020",Idiopathic thrombocytopenic purpura,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D69,Chronic,?,3
11185,2637,432870004,"  Thrombocytopenia events, as defined by diagnosis codes from Altomare ClinEpi 2016",Thrombocytopenia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D69.6,Chronic,?,3
11186,2638,433736003,Obesity,Obesity,"Endocrine, nutritional and metabolic diseases",E66,Chronic,,3
11187,2639,434119003,  Hidradenitis at first diagnosis,Hidradenitis,Diseases of the skin and subcutaneous tissue,L73,Chronic,7.2 years,10
11188,2640,434557003,  Tuberculosis prevalent cohort:  First condition occurrence of Respiratory and pulmonary tuberculosis conceptset,Tuberculosis,Certain infectious and parasitic diseases,A15,Acute,,1
11189,2641,434592003,"  B-cell lymphoma incident cohort: First occurrence of ""B-cell lymphoma"" with exclusions + descendants with >=1095d prior observation",B-cell lymphoma,Neoplasms,C83,Chronic,12 weeks approx,3
11190,2642,435783003,"  Schizophrenia by Ren,  2005 and repeated in literature",Schizophrenia,"Mental, Behavioral and Neurodevelopmental disorders",F20,Chronic,?,3
11191,2643,436073003,"  Hospitalization for Psychosis, defined by inpatient visit with a primary condition occurrence of psychosis conceptset",Hospitalization for psychosis,"Mental, Behavioral and Neurodevelopmental disorders",F29,Chronic,~1-2 years,3
11192,2644,436100003,  Narcolepsy (generalized algorithm from literature),Narcolepsy,Diseases of the nervous system,G47,Chronic,8.9 years,10
11193,2645,436642004,  Behcets syndrome custom concept (includes arthropathy) incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Behcet's syndrome,Diseases of the musculoskeletal system and connective tissue,M35.2,Chronic,5.8 years,10
11194,2646,436665001,  Bipolar disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Bipolar disorder,"Mental, Behavioral and Neurodevelopmental disorders",F31,Chronic,7.6 years,10
11195,2647,436676001,  Posttraumatic stress disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Posttraumatic stress disorder,"Mental, Behavioral and Neurodevelopmental disorders",F43,Chronic,?,10
11196,2648,436962003,  Insomnia with disorders of maintaing sleep concept prevalent cohort: First occurrence of expanded concept + descendants (excluding hypo/hypersomnias),Insomnia,Diseases of the nervous system,G47.0,Chronic,N/A,3
11197,2649,437082001,  Ankylosing spondylitis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Ankylosing spondylitis,Diseases of the musculoskeletal system and connective tissue,M45,Chronic,?,3
11198,2650,437233001,  Multiple myeloma referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Multiple myeloma,Neoplasms,C90,Chronic,99 days [this was in older patients],3
11199,2651,437541001,  Glaucoma referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Glaucoma,Diseases of the eye and adnexa,H40,Chronic,?,3
11200,2652,438409001,  Attention deficit hyperactivity disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Attention deficit hyperactive disorder,"Mental, Behavioral and Neurodevelopmental disorders",F90,Chronic,?,3
11201,2653,439727004,  HIV prevalent cohort: First occurrence of HIV excluding HIV-II conceptset,HIV,Certain infectious and parasitic diseases,B20,Chronic,2.8 years,10
11202,2654,439776001,  Autism spectrum disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Autism,"Mental, Behavioral and Neurodevelopmental disorders",F84,Chronic,2.8 years,10
11203,2655,440383003,"  Depressive disorder prevalent cohort, defined as the earliest condition occurrence of Depressive disorder conceptset with no teratment more than 30 days prior and no prior psychosies/mania",Depression,"Mental, Behavioral and Neurodevelopmental disorders",F33,Chronic,9.89 weeks,3
11204,2656,440417003,"  Pulmonary embolism events, defined by condition occurrences of Pulmonary embolism conceptset",Pulmonary embolism,Diseases of the circulatory system,I26,Acute,,1
11205,2657,440674001,  Gout referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Gout,Diseases of the musculoskeletal system and connective tissue,M10.9,Chronic,,3
11206,2658,440740001,  Takayasus disease referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Takayasu's disease,Diseases of the musculoskeletal system and connective tissue,M31.4,Chronic,17.5 months,3
11207,2659,441202003,Anaphylaxis,Anaphylaxis,"Injury, poisoning and certain other consequences of external causes",T78,Acute,,1
11208,2660,443387001,  Malignant tumor of stomach referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant tumor of stomach,Neoplasms,C16,Chronic,?,3
11209,2661,443454003,"  Ischemic stroke events, defined by condition occurrences of Ischemic stroke conceptset occurring between start and end of inpatient or ER visit",Ischemic stroke,Diseases of the circulatory system,I63,Acute,,1
11210,2662,444044001,  Acute tubular necrosis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Acute tubular necrosis,Neoplasms,N17,Acute,,1
11211,2663,4038838001,  Non-Hodgkins lymphoma referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Non-Hodgkins lymphoma,Neoplasms,C85,Chronic,4 months,3
11212,2664,4074815003,  Inflammatory bowel disease,Inflammatory bowel disease,Diseases of the digestive system,,Chronic,?,10
11213,2665,4091559001,  Facial palsy referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Facial palsy,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R29,Chronic,N/A,3
11214,2666,4103295003,"  ventricular arrhythmia or cardiac arrest during hospitalization, defined by condition occurrences of ventricular arrhythmia or cardiac arrest conceptset occurring between start and end of inpatient visit",Ventricular arrhythmia or cardiac arrest,Diseases of the circulatory system,I46,Acute,,1
11215,2667,4133004005,"  Deep vein thrombosis events, defined by condition occurrences of deep vein thrombosis conceptset",Deep vein thrombosis,Diseases of the circulatory system,I82,Acute,,1
11216,2668,4164770003,"  Guillain-Barre syndrome inpatient (Arya et al, ScallenWalter et al, Iqbal et al, Anandan et al, Rasmussen et al. Baxter et al.)",Hospitalization for Guillain-Barre,Diseases of the nervous system,G61,Chronic,7 days,3
11217,2669,4180790001,  Malignant tumor of colon referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant tumor of colon,Neoplasms,C18,Chronic,3.4 months,3
11218,2670,4181343001,  Malignant tumor of esophagus referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant tumor of esophagus,Neoplasms,C15,Chronic,?,3
11219,2672,4182210001,  Dementia referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Dementia,"Mental, Behavioral and Neurodevelopmental disorders",F03,Chronic,?,3
11220,2673,4201096003,  Aseptic meningitis by Perez-Vilar (specific codes for meningitias excluding encephalitis diagnosis),Aseptic meningitis,Diseases of the nervous system,G03,Acute,,1
11221,2674,4245975003,"  Hepatic failure prevalent cohort:  First condition occurrence of hepatic failure, necrosis or coma conceptset",Hepatic failure,Diseases of the digestive system,K72,Acute,,1
11222,2675,4246127001,  Malignant neoplasm of liver referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant neoplasm of liver,Neoplasms,C22,Chronic,?,3
11223,2676,4256228001,  Respiratory failure referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Respiratory failure,Diseases of the respiratory system,J96,Acute,,1
11224,2677,4266367003,Flu,Flu,Diseases of the respiratory system,J10,Acute,,1
11225,2678,4281232001,  Type B viral hepatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Type B hepatitis,Certain infectious and parasitic diseases,B16,Chronic,?,3
11226,2679,4290976003,  Giant cell arteritis at first diagnosis (no history of giant cell arteritis),Giant cell arteritis,Diseases of the musculoskeletal system and connective tissue,M31,Chronic,9 weeks,3
11227,2680,4311499001,  Primary malignant neoplasm of respiratory tract referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Malignant neoplasm of respiratory tract ,Neoplasms,C30-C39,Chronic,,3
11228,2681,4322024001,  Pulmonary hypertension referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Pulmonary hypertension,Diseases of the circulatory system,I27,Chronic,N/A,3
11229,2682,40479589003,  Stress Cardiomyopathy as per Bhat et al (US 2020),Stress Cardiomyopathy,Diseases of the circulatory system,I51.81,Acute,,1
11230,2683,42535714003,  Vasculitis associated with Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis,Vasculitis associated with ANCA,Diseases of the musculoskeletal system and connective tissue,M31.7,Chronic,?,3
11231,2684,43530714003,"  Anosmia OR Hyposmia OR Dysgeusia episodes, defined by condition occurrences of Altered smell or taste conceptset",Anosmia or Hyposmia or Dysgeusia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R43,Chronic,N/A,3
11232,2685,44784217001,  Cardiac arrhythmia referent concept incident cohort: First occurrence of referent concept + descendants with >=1095d prior observation,Cardiac arrhythmia,Diseases of the circulatory system,I49.9,Acute,,1
11233,2686,45763653003,  Fracture of bone of hip region (dx + px) referent concept incident cohort (aged 50-89): First occurrence of hip fracture dx or procedure with >=1095d prior observation,Fracture of bone of hip region,Diseases of the musculoskeletal system and connective tissue,M84,Acute,,1
11234,2687,46271022006,  Chronic kidney disease incident cohort:  First condition occurrence of chronic kidney disease conceptset,Chronic kidney disease,Diseases of the genitourinary system,N18,Chronic,1.3 years,3
